Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Belmont University,0.038,0.553,0.166,1205,6098,28870,0.045,0.815,3.51
Saint Vincent College,0.026,0.622,0.262,1068,5175,21454,0.241,0.67,3.51
University of Puget Sound,0.029,0.685,0.2,1235,6700,33439,0.201,0.518,3.51
Saint Johns University,0.014,0.686,0.259,1165,9092,23382,0.225,0.744,3.51
Talmudic College of Florida,0,0,0.762,0,3661,8016,0,0.882,3.5
University of Hawaii at Hilo,0.083,0.107,0.4,975,6679,9601,0.13,0.709,3.5
South Dakota School of Mines and Technology,0.056,0.199,0.231,1205,6688,15682,0.922,0.879,3.5
Cornerstone University,0.073,0.242,0.477,1105,8096,17707,0.013,0.627,3.5
University of Alabama at Birmingham,0.07,0.255,0.373,1105,6463,14296,0.175,0.722,3.5
North Georgia College & State University,0.072,0.28,0.298,1100,5296,11259,0.132,0.532,3.5
Lee University,0.129,0.333,0.369,1105,6299,12300,0.033,0.612,3.5
University of Kansas,0.056,0.367,0.216,1145,6267,16326,0.158,0.925,3.5
Florida Institute of Technology,0.143,0.372,0.24,1145,6581,32347,0.697,0.574,3.5
Lipscomb University,0.055,0.374,0.308,1145,6784,21085,0.193,0.513,3.5
SUNY College at Oswego,0.071,0.377,0.337,1130,6330,15018,0.07,0.483,3.5
Freed-Hardeman University,0.132,0.407,0.435,1050,6668,16257,0.125,0.992,3.5
Polytechnic Institute of New York University,0.073,0.411,0.452,1302,7412,24329,0.986,0.681,3.5
Maryville College,0.088,0.413,0.447,1125,6459,15844,0.119,0.663,3.5
William Woods University,0.053,0.433,0.348,1030,6742,19988,0.034,0.799,3.5
Philadelphia University,0.051,0.439,0.347,1080,7961,27273,0.051,0.708,3.5
SUNY College at Brockport,0.06,0.442,0.375,1055,7073,13809,0.084,0.418,3.5
Southern Wesleyan University,0.123,0.449,0.552,935,5795,16684,0.058,0.974,3.5
Eastern Mennonite University,0.011,0.454,0.353,1055,7300,20321,0.09,0.684,3.5
Biola University,0.028,0.456,0.29,1120,9617,30549,0.051,0.767,3.5
Warren Wilson College,0.078,0.462,0.317,1140,5579,25058,0.091,0.933,3.5
Otterbein University,0.063,0.476,0.341,1090,6465,22350,0.09,0.793,3.5
Bellarmine University,0.056,0.48,0.29,1125,6736,24066,0.089,0.518,3.5
Bridgewater College,0.052,0.492,0.291,1025,6955,20985,0.196,0.515,3.5
Hollins University,0.077,0.508,0.407,1060,7753,20685,0.108,0.827,3.5
Wells College,0.07,0.515,0.453,1050,8027,19998,0.191,0.629,3.5
Wheeling Jesuit University,0.073,0.518,0.262,1050,7412,19105,0.14,0.716,3.5
Goshen College,0.044,0.553,0.271,1075,5125,20483,0.115,0.595,3.5
Bennington College,0.029,0.591,0.198,0,6173,33477,0.053,0.724,3.5
Rockhurst University,0.056,0.598,0.258,1125,6640,20589,0.142,0.761,3.5
Nazareth College,0.04,0.609,0.312,0,8285,25445,0.058,0.699,3.5
Dordt College,0.022,0.631,0.334,1105,7282,22964,0.183,0.796,3.5
Saint John Fisher College,0.055,0.645,0.305,1090,7285,22930,0.11,0.665,3.5
Bard College,0.045,0.667,0.163,0,6328,29747,0,0.346,3.5
Siena College,0.041,0.695,0.224,1140,7598,27169,0.177,0.485,3.5
Trinity University,0.027,0.712,0.187,1260,9929,26203,0.264,0.611,3.5
Saint Michael's College,0.024,0.774,0.175,1150,8866,29035,0.17,0.781,3.5
Furman University,0.023,0.791,0.117,1265,8552,32163,0.21,0.695,3.5
Denison University,0.018,0.839,0.216,1280,9200,28776,0.189,0.483,3.5
University of Puerto Rico-Ponce,0.13,0.11,0.876,1073,3354,8046,0.212,0.779,3.49
University of the Incarnate Word,0.117,0.216,0.488,970,6885,18142,0.116,0.946,3.49
University of Northern Iowa,0.04,0.385,0.22,1090,5440,13778,0.138,0.773,3.49
Webster University,0.088,0.474,0.297,1105,6211,22452,0.098,0.722,3.49
Carroll College,0.029,0.522,0.227,1125,7355,22825,0.218,0.72,3.49
Sacred Heart Major Seminary,0,0,0.333,0,3863,23412,0,1,3.48
Multnomah University,0.027,0.216,0.433,1055,6783,25387,0,0.711,3.48
Simpson University,0.067,0.291,0.551,1045,6803,17948,0.018,0.52,3.48
Oklahoma State University-Main Campus,0.085,0.341,0.282,1125,5690,13994,0.206,0.817,3.48
Chatham University,0.042,0.51,0.546,0,7182,23414,0.118,0.619,3.48
Citadel Military College of South Carolina,0.049,0.562,0.238,1065,8815,15218,0.238,0.57,3.48
Wittenberg University,0.058,0.61,0.262,1145,6901,25979,0.173,0.728,3.48
Central College,0.042,0.62,0.311,1090,7209,22083,0.176,0.731,3.48
Clark University,0.039,0.755,0.213,0,6648,24982,0.147,0.679,3.48
Midwestern State University,0.096,0.166,0.379,1023,5822,9296,0.073,0.52,3.47
Southern Utah University,0.073,0.201,0.374,1050,4099,14023,0.135,0.764,3.47
Utah State University,0.069,0.254,0.333,1085,5654,11049,0.13,0.973,3.47
Jacksonville University,0.107,0.272,0.363,1040,7694,20585,0.065,0.416,3.47
Howard Payne University,0.147,0.343,0.468,990,6770,19091,0.078,0.694,3.47
Dominican University of California,0.056,0.38,0.272,1055,7462,33420,0.123,0.537,3.47
University of the Pacific,0.031,0.434,0.339,1184,6572,29461,0.257,0.358,3.47
Gannon University,0.055,0.497,0.359,1030,8210,20442,0.177,0.852,3.47
Randolph College,0.056,0.535,0.282,1105,14015,26397,0.143,0.711,3.47
Massachusetts College of Pharmacy and Health Sciences,0.015,0.541,0.454,1095,14325,30806,0.001,0.796,3.47
Grace College and Theological Seminary,0.038,0.556,0.434,1010,6863,16745,0.045,0.951,3.47
Virginia Military Institute,0.076,0.558,0.158,1135,8392,13133,0.311,0.461,3.47
Dominican University,0.073,0.561,0.599,1030,6939,17124,0.092,0.59,3.47
Lycoming College,0.069,0.568,0.349,1060,7648,22234,0.148,0.695,3.47
Yeshiva University,0.041,0.583,0.221,1225,7402,24408,0.24,0.694,3.47
Doane College-Crete,0.057,0.603,0.371,1070,6255,19879,0.182,0.826,3.47
Presbyterian College,0.03,0.607,0.228,1116,5469,14693,0.271,0.674,3.47
Beloit College,0.025,0.697,0.238,1245,6170,24138,0.17,0.706,3.47
Lafayette College,0.018,0.892,0.129,1295,6443,23905,0.422,0.403,3.47
Research College of Nursing,0.012,0,0,1070,0,0,0,0.641,3.46
Rowan University,0.053,0.12,0.295,1100,7453,17131,0.157,0.558,3.46
University of Wyoming,0.051,0.233,0.211,1105,6032,11203,0.2,0.954,3.46
University of Louisville,0.097,0.264,0.324,1105,5746,12990,0.171,0.749,3.46
University of Pittsburgh-Greensburg,0.044,0.27,0.395,1015,7106,14594,0.171,0.846,3.46
Viterbo University,0.063,0.33,0.324,1090,6258,17010,0.066,0.779,3.46
Kentucky Christian University,0.198,0.341,0.565,950,5878,17415,0,0.349,3.46
Western Washington University,0.046,0.351,0.219,1115,5782,13920,0.118,0.784,3.46
University of La Verne,0.049,0.404,0.534,995,6996,21254,0.029,0.593,3.46
Clarke University,0.053,0.494,0.362,1070,9138,20945,0.084,0.744,3.46
Saint Francis University,0.047,0.505,0.291,1025,8983,22846,0.183,0.766,3.46
The College of Saint Scholastica,0.064,0.574,0.267,1030,11124,23191,0.135,0.812,3.46
Saint Norbert College,0.041,0.646,0.242,1125,7687,22201,0.143,0.805,3.46
Saint Joseph's University,0.05,0.74,0.104,1120,8307,35408,0.061,0.777,3.46
University of Wisconsin-Stevens Point,0.033,0.241,0.296,1090,5857,11362,0.154,0.787,3.45
Newberry College,0.133,0.246,0.5,960,7311,18098,0.186,0.609,3.45
Emory & Henry College,0.128,0.315,0.426,996,6002,19389,0.122,0.709,3.45
Louisiana State University and Agricultural & Mechanical College,0.049,0.34,0.205,1165,5655,11676,0.216,0.722,3.45
Bethel College-North Newton,0.067,0.356,0.429,1070,7022,19021,0.149,0.697,3.45
Southwestern College,0.075,0.407,0.456,1010,7593,20845,0.151,0.873,3.45
Piedmont College,0.057,0.415,0.398,1020,5172,15788,0.049,0.644,3.45
Seton Hill University,0.072,0.421,0.414,1015,7518,21280,0.143,0.669,3.45
SUNY College at Cortland,0.045,0.477,0.256,1070,6559,15702,0.046,0.41,3.45
Capital University,0.052,0.496,0.39,1105,7390,23213,0.075,0.76,3.45
Faith Baptist Bible College and Theological Seminary,0.053,0.5,0.561,1030,6183,15981,0,0.748,3.45
Georgetown College,0.069,0.51,0.296,1105,5841,17230,0.146,0.883,3.45
Laguna College of Art and Design,0.033,0.515,0.274,0,5281,27815,0,0.395,3.45
Walsh University,0.066,0.52,0.361,1030,6921,19433,0.144,0.769,3.45
Marietta College,0.066,0.535,0.362,1090,8299,23018,0.271,0.7,3.45
Hamline University,0.045,0.544,0.417,1105,7585,20566,0.11,0.715,3.45
Spring Hill College,0.084,0.548,0.37,1090,6947,20203,0.14,0.485,3.45
Maryland Institute College of Art,0.049,0.634,0.2,1160,8027,36977,0,0.55,3.45
Whittier College,0.064,0.657,0.344,1065,8775,26881,0.11,0.715,3.45
Lincoln Memorial University,0.083,0.019,0.583,1050,5795,11480,0.063,0.65,3.44
Drexel University,0.043,0.266,0.207,1205,10896,35948,0.326,0.575,3.44
University of California-Merced,0.071,0.298,0.589,1015,4868,12322,0.438,0.886,3.44
Baker University,0.058,0.394,0.338,1070,7275,18964,0.047,0.921,3.44
Mississippi College,0.085,0.396,0.335,1105,5781,14443,0.145,0.445,3.44
Benedictine College,0.069,0.427,0.281,1105,6212,22500,0.103,0.588,3.44
Fresno Pacific University,0.072,0.477,0.464,985,7633,16418,0.035,0.445,3.44
Ohio Wesleyan University,0.056,0.609,0.246,1165,6099,25322,0.167,0.698,3.44
Loyola University Maryland,0.03,0.792,0.14,1190,8899,30603,0.122,0.634,3.44
Kettering University,0.048,0.101,0.271,1225,9324,28101,0.976,0.641,3.43
California State University-Long Beach,0.06,0.127,0.484,1025,5225,8466,0.118,0.344,3.43
University of Hawaii at Manoa,0.044,0.175,0.313,1090,11275,11562,0.135,0.709,3.43
Concordia University-Texas,0.099,0.194,0.353,1000,5971,19770,0.058,0.926,3.43
New York Institute of Technology,0.08,0.238,0.41,1015,6160,22105,0.304,0.688,3.43
University of Cincinnati-Main Campus,0.105,0.239,0.239,1140,6310,19045,0.201,0.647,3.43
Rocky Mountain College,0.059,0.265,0.339,1070,7065,18654,0.146,0.546,3.43
Northwest Christian University,0.063,0.333,0.448,1025,6306,18114,0.071,0.656,3.43
York College Pennsylvania,0.051,0.414,0.276,1070,10947,20582,0.11,0.727,3.43
Concordia University-Irvine,0.047,0.457,0.306,1020,6708,25352,0.058,0.76,3.43
Bethel College-Indiana,0.094,0.472,0.546,1015,6806,18333,0.015,0.688,3.43
Baldwin Wallace University,0.037,0.501,0.346,1105,7222,20294,0.144,0.633,3.43
Birmingham Southern College,0.091,0.555,0.234,1185,8884,22819,0.203,0.642,3.43
Shenandoah University,0.081,0.248,0.271,1020,7851,26101,0.076,0.811,3.42
Lubbock Christian University,0.127,0.255,0.388,1010,6904,19545,0.066,0.612,3.42
Kansas State University,0.069,0.271,0.244,0,5820,14639,0.22,0.989,3.42
University of Minnesota-Duluth,0.039,0.276,0.262,1110,7671,15718,0.253,0.764,3.42
Oklahoma Christian University,0.096,0.324,0.271,1105,7590,18408,0.234,0.512,3.42
Wilson College,0.056,0.355,0.456,985,7791,20984,0.084,0.518,3.42
Catawba College,0.077,0.369,0.444,935,6985,19971,0.067,0.416,3.42
Central Methodist University-College of Liberal Arts & Sciences,0.123,0.391,0.438,1030,6500,16595,0.135,0.63,3.42
University of Indianapolis,0.049,0.402,0.383,1020,7636,22158,0.079,0.679,3.42
Centenary College of Louisiana,0.07,0.432,0.421,1105,5737,17551,0.235,0.631,3.42
Massachusetts College of Art and Design,0.054,0.442,0.305,1075,7570,18400,0,0.631,3.42
Bob Jones University,0.021,0.495,0.467,0,6241,16436,0.08,1,3.42
Savannah College of Art and Design,0.115,0.509,0.261,1060,8366,34187,0,0.487,3.42
Loras College,0.05,0.593,0.225,1090,6625,21692,0.131,0.762,3.42
Drew University,0.053,0.658,0.348,1120,5500,30482,0.164,0.841,3.42
McDaniel College,0.045,0.681,0.361,1095,8494,21275,0.09,0.753,3.42
Kettering College,0.054,0,0.388,1050,8968,16954,0,0.261,3.41
The University of Tennessee-Martin,0.145,0.223,0.525,1030,5670,8897,0.123,0.734,3.41
Oregon Institute of Technology,0.053,0.234,0.412,1015,5742,13354,0.355,0.641,3.41
Trine University,0.109,0.316,0.389,1010,6640,24700,0.522,0.716,3.41
Arizona State University,0.08,0.332,0.367,1095,6258,12369,0.162,0.866,3.41
Andrews University,0.102,0.336,0.305,1070,7306,21220,0.155,0.449,3.41
Temple University,0.063,0.358,0.274,1110,8162,21012,0.105,0.628,3.41
Slippery Rock University of Pennsylvania,0.057,0.385,0.334,1015,7136,15507,0.122,0.671,3.41
Longwood University,0.056,0.417,0.208,1020,6431,16883,0.107,0.746,3.41
Buena Vista University,0.079,0.419,0.394,1050,9381,17517,0.05,0.638,3.41
Converse College,0.071,0.478,0.485,1082,8038,17083,0.164,0.531,3.41
Flagler College-St Augustine,0.058,0.508,0.319,1115,6547,19948,0,0.404,3.41
Ripon College,0.066,0.58,0.397,1125,8052,20646,0.184,0.751,3.41
Sweet Briar College,0.075,0.605,0.325,1052,7292,24725,0.221,0.82,3.41
Nebraska Methodist College of Nursing & Allied Health,0.035,0.667,0.323,1010,7937,17275,0,0.342,3.41
Roberts Wesleyan College,0.062,0.079,0.424,1080,7071,20547,0.03,0.513,3.4
University of Nebraska at Omaha,0.072,0.141,0.334,1050,5172,10755,0.109,0.757,3.4
Siena Heights University,0.061,0.15,0.51,970,6328,18072,0.087,0.555,3.4
Cumberland University,0.117,0.18,0.429,1030,5123,16395,0.045,0.486,3.4
Tennessee Technological University,0.082,0.199,0.392,1070,4206,13062,0.271,0.971,3.4
The University of Texas at Tyler,0.096,0.255,0.344,1060,4734,10974,0.117,0.457,3.4
CUNY Brooklyn College,0.068,0.267,0.585,1100,4745,5485,0.091,0.298,3.4
University of Science and Arts of Oklahoma,0.181,0.279,0.489,1070,6016,6025,0.074,0.273,3.4
Northern Arizona University,0.093,0.299,0.374,1065,6056,15090,0.16,0.648,3.4
University of Kentucky,0.062,0.308,0.259,1145,5426,14390,0.172,0.685,3.4
SUNY College at Potsdam,0.079,0.32,0.45,0,6141,13365,0.133,0.635,3.4
Saint Xavier University,0.075,0.328,0.548,1050,6918,16111,0.092,0.83,3.4
Toccoa Falls College,0.052,0.33,0.558,1010,6426,16282,0.014,0.501,3.4
McKendree University,0.111,0.332,0.414,1030,5818,16450,0.083,0.675,3.4
Clearwater Christian College,0.061,0.338,0.496,1010,6411,18774,0.202,0.751,3.4
Georgia College & State University,0.052,0.354,0.199,1130,5793,15527,0.1,0.7,3.4
Campbell University,0.048,0.398,0.423,1021,5814,24163,0.209,0.667,3.4
Carson-Newman University,0.113,0.413,0.382,1050,5816,16047,0.051,0.673,3.4
Southwest Baptist University,0.115,0.423,0.458,1070,7087,16621,0.07,0.882,3.4
University of Rhode Island,0.069,0.424,0.262,1060,5472,16297,0.143,0.863,3.4
King College,0.083,0.425,0.437,1070,5602,17077,0.082,0.665,3.4
Monmouth University,0.063,0.443,0.256,1060,10260,27204,0.097,0.633,3.4
Mount Mercy University,0.049,0.45,0.34,990,6831,21007,0.065,0.699,3.4
California Baptist University,0.096,0.453,0.459,970,7944,24269,0.068,0.741,3.4
Berea College,0.1,0.477,0.928,1125,1386,0,0.188,0.124,3.4
SUNY at Fredonia,0.064,0.485,0.329,1070,7354,14919,0.093,0.496,3.4
Morningside College,0.09,0.5,0.39,1090,7689,19893,0.164,0.602,3.4
The College of Saint Rose,0.051,0.521,0.4,0,7564,23939,0.087,1,3.4
Rosemont College,0.108,0.529,0.505,972,6927,20839,0.089,0.536,3.4
Adelphi University,0.059,0.54,0.347,1080,7100,25262,0.094,0.692,3.4
Franklin College,0.08,0.546,0.342,1035,7366,21100,0.164,0.596,3.4
Roanoke College,0.051,0.567,0.281,1085,8190,26466,0.126,0.696,3.4
Earlham College,0.044,0.619,0.269,1140,6893,21558,0.274,0.685,3.4
Hampden-Sydney College,0.069,0.632,0.172,1105,7017,19974,0.164,0.548,3.4
Quinnipiac University,0.024,0.707,0.138,1090,11300,35544,0.077,0.631,3.4
Portland State University,0.076,0.157,0.434,1045,5721,12335,0.116,0.694,3.39
Wichita State University,0.07,0.17,0.367,1090,5561,8645,0.154,0.939,3.39
Montana Tech of the University of Montana,0.094,0.176,0.362,1090,5438,12424,0.745,0.88,3.39
Charleston Southern University,0.064,0.215,0.489,989,5389,15885,0.126,0.646,3.39
North Dakota State University-Main Campus,0.032,0.238,0.224,1090,7978,14227,0.258,0.86,3.39
University of Charleston,0.149,0.279,0.433,1050,7091,13823,0.146,0.568,3.39
Judson College,0.175,0.313,0.64,1030,7023,17310,0.179,0.743,3.39
Jamestown College,0.051,0.315,0.218,1050,6937,15744,0.067,0.63,3.39
University of Arizona,0.068,0.36,0.318,1100,5875,13485,0.202,0.754,3.39
University of the Ozarks,0.089,0.36,0.452,1008,10152,15467,0.189,0.851,3.39
Bethany Lutheran College,0.069,0.432,0.414,1105,8020,17745,0.211,0.843,3.39
Huntington University,0.027,0.504,0.426,1020,7890,18147,0.018,0.884,3.39
Elmhurst College,0.024,0.568,0.222,1090,6922,19300,0.093,0.721,3.39
Albion College,0.039,0.619,0.291,1145,8632,22275,0.258,0.693,3.39
John Carroll University,0.059,0.659,0.237,1125,7165,24022,0.15,0.838,3.39
Providence College,0.022,0.841,0.158,1155,9255,33023,0.118,0.606,3.39
Georgia State University,0.081,0.202,0.552,1095,5713,14290,0.112,0.518,3.38
University of Illinois at Springfield,0.071,0.289,0.331,1070,5961,13513,0.141,0.601,3.38
Spring Arbor University,0.061,0.307,0.451,1070,10686,16837,0.041,0.735,3.38
University of Pittsburgh-Johnstown,0.044,0.356,0.298,1010,7681,16779,0.328,0.884,3.38
Trinity Christian College,0.063,0.441,0.282,1085,6254,22851,0.043,0.855,3.38
California State University-Fullerton,0.076,0.134,0.403,1000,5309,7125,0.061,0.451,3.37
Liberty University,0.074,0.244,0.434,0,6705,22798,0.023,1,3.37
Mississippi University for Women,0.115,0.268,0.665,990,6024,8948,0.023,0.443,3.37
Widener University-Main Campus,0.058,0.428,0.343,1005,9473,27157,0.216,0.701,3.37
Ashland University,0.056,0.433,0.365,1050,8382,21881,0.058,0.722,3.37
Coker College,0.101,0.449,0.546,995,6773,14472,0.044,0.529,3.37
Vanguard University of Southern California,0.054,0.451,0.448,975,6638,21297,0.03,0.737,3.37
Moody Bible Institute,0,0.481,0.264,1070,6784,14636,0,0.882,3.37
Le Moyne College,0.071,0.605,0.359,1035,8769,23323,0.19,0.617,3.37
Fairfield University,0.012,0.777,0.139,0,9478,33466,0.104,0.715,3.37
University of Mary,0.041,0.055,0.331,1050,6442,14077,0.083,0.752,3.36
The University of Tennessee at Chattanooga,0.106,0.128,0.357,1070,5112,12390,0.151,0.737,3.36
New Mexico State University-Main Campus,0.185,0.138,0.458,990,4723,11107,0.211,0.803,3.36
Southern Adventist University,0.084,0.208,0.364,1030,7571,19890,0.142,0.493,3.36
University of North Dakota,0.04,0.234,0.207,1090,8166,16333,0.169,0.7,3.36
College of Saint Mary,0.116,0.281,0.386,1010,6988,19534,0.145,0.47,3.36
Williams Baptist College,0.077,0.289,0.6,1010,4050,10876,0.059,0.585,3.36
LaGrange College,0.109,0.327,0.394,1000,7403,19644,0.123,0.586,3.36
West Virginia University,0.098,0.338,0.275,1090,6833,9100,0.207,0.87,3.36
Concordia University-Wisconsin,0.073,0.345,0.273,1070,7822,21259,0.062,0.657,3.36
Crown College,0.055,0.353,0.465,1070,7527,20857,0.024,0.777,3.36
West Virginia Wesleyan College,0.102,0.402,0.395,960,6137,17869,0.123,0.781,3.36
Elmira College,0.043,0.556,0.334,1080,5747,22967,0.126,0.755,3.36
VanderCook College of Music,0.029,0,0.5,1050,7245,25534,0,0.693,3.35
Minot State University,0.063,0.126,0.233,1010,5006,12124,0.06,0.578,3.35
Fontbonne University,0.112,0.16,0.324,1030,5878,19274,0.037,0.633,3.35
University of Colorado Denver,0.054,0.175,0.388,1050,5254,16003,0.165,0.598,3.35
East Texas Baptist University,0.127,0.202,0.48,950,6781,17924,0.058,0.572,3.35
Pacific Union College,0.124,0.226,0.422,1010,10513,24953,0.169,0.468,3.35
Robert Morris University,0.046,0.361,0.368,1015,7319,22476,0.067,0.791,3.35
University of Mississippi,0.088,0.365,0.274,1085,6601,12640,0.097,0.79,3.35
Washington State University,0.058,0.389,0.3,1065,6364,16327,0.162,0.835,3.35
Albright College,0.077,0.459,0.495,1055,8069,26712,0.099,0.479,3.35
Catholic University of America,0.026,0.616,0.123,1110,8316,35160,0.137,0.868,3.35
Knox College,0.061,0.708,0.332,0,7504,22540,0.207,0.715,3.35
University of Scranton,0.038,0.755,0.188,1120,8280,31490,0.143,0.721,3.35
Stonehill College,0.026,0.79,0.123,1200,8214,31743,0.114,0.652,3.35
Cabarrus College of Health Sciences,0.023,0,0.5,970,5500,16320,0,0.679,3.34
Southwestern Oklahoma State University,0.18,0.167,0.442,990,4661,10321,0.118,0.923,3.34
Lawrence Technological University,0.077,0.201,0.325,1085,7401,23586,0.542,0.47,3.34
University of Montevallo,0.114,0.205,0.39,1070,5634,13002,0.071,0.757,3.34
Arkansas State University-Main Campus,0.189,0.208,0.503,1070,5395,8708,0.113,0.633,3.34
University of Mobile,0.055,0.252,0.388,1070,5931,17385,0.025,0.806,3.34
South Dakota State University,0.051,0.271,0.323,1030,6797,13753,0.198,0.923,3.34
Coastal Carolina University,0.077,0.286,0.379,1000,7089,13903,0.131,0.744,3.34
Aurora University,0.066,0.378,0.401,1030,6015,17406,0.056,0.74,3.34
Northwest University,0.064,0.386,0.389,1030,8150,18723,0.041,0.616,3.34
Wisconsin Lutheran College,0.044,0.409,0.323,1105,5948,18575,0.109,0.651,3.34
Mount St. Mary's College,0.074,0.422,0.648,943,6867,24656,0.056,0.681,3.34
Millikin University,0.099,0.451,0.428,1070,7734,19765,0.065,0.565,3.34
Mount Vernon Nazarene University,0.076,0.464,0.407,1070,6683,19600,0.049,0.723,3.34
University of New Haven,0.056,0.466,0.286,1060,9872,29401,0.182,0.638,3.34
La Salle University,0.045,0.555,0.441,985,9398,23785,0.054,0.732,3.34
Susquehanna University,0.035,0.702,0.212,1120,6414,26288,0.121,0.732,3.34
Muhlenberg College,0.017,0.818,0.086,1235,9020,32841,0.186,0.432,3.34
California State University-Fresno,0.08,0.136,0.607,940,4942,5894,0.112,0.559,3.33
Hawaii Pacific University,0.042,0.199,0.342,980,6544,22360,0.081,0.707,3.33
Central Michigan University,0.059,0.203,0.355,1050,8425,12668,0.096,0.685,3.33
University of Wisconsin-Green Bay,0.035,0.222,0.335,1070,6037,10180,0.062,0.853,3.33
Marshall University,0.136,0.226,0.454,1010,6011,8157,0.113,0.813,3.33
Southeast Missouri State University,0.133,0.23,0.379,1050,5545,10774,0.108,0.973,3.33
University of Idaho,0.075,0.233,0.429,1070,5494,14147,0.187,0.609,3.33
Louisiana Tech University,0.086,0.271,0.305,1090,4865,8557,0.244,0.621,3.33
Thomas More College of Liberal Arts,0.073,0.316,0.435,0,5958,17245,0,1,3.33
Ball State University,0.085,0.325,0.344,1060,6220,12622,0.076,0.675,3.33
Carlow University,0.048,0.435,0.564,960,5672,16245,0.071,0.651,3.33
Ohio University-Main Campus,0.138,0.441,0.263,1090,7389,18356,0.114,0.862,3.33
Illinois State University,0.036,0.469,0.251,1110,11156,16293,0.118,0.71,3.33
Illinois College,0.084,0.505,0.379,0,6810,17438,0.304,0.648,3.33
Misericordia University,0.063,0.536,0.277,1070,8752,22899,0.067,0.573,3.33
Stephens College,0.098,0.542,0.519,1090,10289,22643,0.036,0.683,3.33
Mount St Mary's University,0.039,0.622,0.226,1075,6259,25728,0.106,0.656,3.33
Washington & Jefferson College,0.041,0.7,0.264,0,8598,25693,0.206,0.43,3.33
Moravian College and Moravian Theological Seminary,0.064,0.715,0.32,0,9018,25234,0.181,0.797,3.33
University of Michigan-Flint,0.12,0.095,0.409,1050,6448,9494,0.118,0.705,3.32
California State Polytechnic University-Pomona,0.053,0.109,0.431,1080,5514,9707,0.294,0.446,3.32
Johnson State College,0.084,0.135,0.465,950,6837,14539,0.029,0.953,3.32
Florida Gulf Coast University,0.082,0.224,0.328,1020,6945,12648,0.101,0.679,3.32
University of South Dakota,0.085,0.232,0.311,1070,6391,14658,0.104,0.889,3.32
Northwest Missouri State University,0.097,0.27,0.416,1050,5655,10958,0.092,0.698,3.32
Shorter University,0.134,0.334,0.46,975,6018,16015,0.126,0.65,3.32
MidAmerica Nazarene University,0.078,0.345,0.38,1030,6754,18751,0.035,0.978,3.32
Boise State University,0.1,0.068,0.403,1050,6967,13790,0.113,0.845,3.31
East Central University,0.201,0.145,0.465,970,4532,7631,0.109,0.919,3.31
McNeese State University,0.172,0.157,0.426,1030,4980,7499,0.12,0.685,3.31
Chaminade University of Honolulu,0.082,0.205,0.39,948,6014,18755,0.064,0.901,3.31
McMurry University,0.19,0.21,0.521,940,8053,19072,0.094,0.607,3.31
Lock Haven University,0.08,0.255,0.398,945,6792,13130,0.073,0.715,3.31
San Diego Christian College,0.068,0.275,0.5,965,12172,24997,0.076,0.395,3.31
Murray State University,0.091,0.281,0.425,1030,7060,10247,0.156,0.815,3.31
William Jessup University,0.099,0.327,0.378,1010,6390,19044,0,0.645,3.31
University of Maine,0.065,0.359,0.359,1075,7670,13905,0.24,0.778,3.31
University of Washington-Bothell Campus,0.039,0.388,0.377,1030,5030,9645,0.107,0.737,3.31
Lewis University,0.073,0.396,0.359,1050,6943,17638,0.056,0.619,3.31
Trevecca Nazarene University,0.071,0.404,0.389,1010,4632,18582,0.083,0.74,3.31
Baptist Bible College & Seminary of Pennsylvania,0.023,0.441,0.54,1015,5829,17880,0,0.811,3.31
Hampshire College,0.025,0.542,0.166,1240,5680,31142,0.11,0.714,3.31
Concordia University-Portland,0.056,0.011,0.357,1030,6795,21857,0.023,0.576,3.3
O'More College of Design,0.045,0.048,0.391,1030,5380,22375,0,0.231,3.3
Our Lady of the Lake University-San Antonio,0.106,0.103,0.741,920,6688,12580,0.138,0.553,3.3
Washburn University,0.147,0.12,0.46,1030,6055,13158,0.062,1,3.3
Madonna University,0.081,0.13,0.374,1050,5870,14034,0.053,0.652,3.3
Florida Atlantic University,0.085,0.155,0.393,1065,5699,11838,0.129,0.348,3.3
University of Nevada-Reno,0.092,0.173,0.301,1055,8073,15033,0.231,0.877,3.3
Morehead State University,0.149,0.187,0.527,1010,5261,9588,0.125,0.888,3.3
Texas A & M University-Corpus Christi,0.136,0.202,0.475,960,6412,10218,0.143,0.846,3.3
SUNY College at Old Westbury,0.145,0.207,0.566,990,5532,7974,0.083,0.448,3.3
SUNY Institute of Technology at Utica-Rome,0.047,0.208,0.414,1080,6266,13664,0.321,0.376,3.3
Texas Wesleyan University,0.085,0.213,0.756,995,8857,17939,0.058,0.523,3.3
Wayland Baptist University,0.117,0.218,0.534,910,6320,12916,0.011,0.99,3.3
Park University,0.115,0.22,0.349,1030,6331,10107,0.048,0.755,3.3
Alice Lloyd College,0.102,0.229,0.544,990,3400,11608,0.298,0.334,3.3
University of Central Arkansas,0.143,0.229,0.443,1070,6006,10184,0.091,0.909,3.3
The University of Virginia's College at Wise,0.125,0.244,0.537,955,5029,10537,0.025,0.772,3.3
