Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
University of South Florida-Main Campus,0.1,0.29,0.438,1155,7484,13222,0.185,0.38,3.78
Brigham Young University-Provo,0.013,0.306,0.178,1265,5234,11565,0.222,0.628,3.78
Drury University,0.167,0.306,0.605,1145,4683,20891,0.144,0.801,3.78
University of Central Florida,0.071,0.353,0.308,1185,5582,13489,0.133,0.451,3.78
Auburn University,0.064,0.382,0.134,1225,6485,15092,0.255,0.7,3.78
University of Tulsa,0.09,0.465,0.199,1245,7021,25503,0.416,0.409,3.78
Butler University,0.021,0.496,0.19,1245,8383,30022,0.118,0.609,3.78
United States Coast Guard Academy,0,0.788,0,1225,0,0,0.651,0.16,3.78
Barnard College,0.009,0.844,0.203,1344,4478,23024,0.133,0.249,3.78
Truman State University,0.037,0.572,0.227,1245,5723,12322,0.164,0.75,3.77
Creighton University,0.027,0.677,0.185,1225,7916,26539,0.153,0.778,3.77
Westmont College,0.02,0.764,0.18,1190,6979,30017,0.178,0.613,3.77
Wesleyan University,0.018,0.872,0.213,1388,4956,21160,0.171,0.205,3.77
University of Evansville,0.058,0.558,0.289,1135,6925,20407,0.183,0.828,3.76
Saint Louis University-Main Campus,0.038,0.604,0.202,1245,7440,33572,0.122,0.62,3.76
Transylvania University,0.023,0.683,0.307,1225,6807,18977,0.19,0.838,3.76
University of Washington-Seattle Campus,0.039,0.556,0.231,1225,5527,9395,0.289,0.584,3.75
Hope College,0.033,0.674,0.244,1205,7072,23725,0.186,0.822,3.75
Juniata College,0.026,0.71,0.226,1175,7246,23873,0.279,0.713,3.75
Stetson University,0.061,0.561,0.397,1130,7253,20943,0.084,0.665,3.74
Gonzaga University,0.038,0.7,0.192,1250,6879,27971,0.207,0.646,3.74
Johns Hopkins University,0.024,0.864,0.128,1400,6478,22973,0.359,0.194,3.74
Mills College,0.075,0.519,0.369,1165,7796,29552,0.112,0.57,3.72
University of Wisconsin-Madison,0.016,0.526,0.156,1265,6843,15317,0.277,0.665,3.72
Allegheny College,0.035,0.698,0.336,1185,8105,25208,0.316,0.576,3.72
College of Saint Benedict,0.015,0.74,0.263,1165,9299,25287,0.178,0.732,3.72
University of Southern California,0.022,0.743,0.199,1385,6100,27544,0.177,0.23,3.72
Valley Forge Christian College,0.106,0.337,0.445,975,7177,19208,0,0.763,3.71
Point Loma Nazarene University,0.042,0.655,0.286,1140,7151,27297,0.114,0.524,3.71
Loyola Marymount University,0.045,0.661,0.18,1190,7325,36687,0.112,0.534,3.71
Lewis & Clark College,0.034,0.687,0.264,1285,6518,26296,0.202,0.66,3.71
Thomas Aquinas College,0,0.716,0.315,1265,3335,19554,0,0.789,3.71
Messiah College,0.022,0.72,0.216,1155,7555,25199,0.12,0.643,3.71
Mount Holyoke College,0.031,0.785,0.184,0,5195,25659,0.221,0.515,3.71
Texas A & M International University,0.16,0.184,0.772,905,3935,1925,0.084,0.484,3.7
Florida International University,0.105,0.189,0.542,1070,5468,11933,0.144,0.511,3.7
University of North Florida,0.088,0.201,0.332,1150,5506,11135,0.127,0.495,3.7
CUNY Queens College,0.046,0.257,0.472,1105,4857,6019,0.059,0.302,3.7
Rochester Institute of Technology,0.048,0.272,0.329,1215,8854,26519,0.534,0.586,3.7
The College of Idaho,0.045,0.505,0.412,1125,8493,18187,0.162,0.655,3.7
Loyola University Chicago,0.059,0.517,0.317,1225,7649,29671,0.173,0.549,3.7
Berry College,0.038,0.518,0.278,1155,6532,21879,0.167,0.623,3.7
California Lutheran University,0.038,0.524,0.219,1110,6664,29347,0.125,0.44,3.7
Chapman University,0.048,0.533,0.195,1210,6678,31400,0.046,0.449,3.7
Milligan College,0.077,0.578,0.378,1105,5525,15756,0.116,0.703,3.7
Salem College,0.067,0.608,0.487,1045,4607,16420,0.092,0.596,3.7
University of Denver,0.03,0.61,0.155,1245,8111,32188,0.117,0.682,3.7
Drake University,0.03,0.636,0.171,1225,6823,26027,0.108,0.632,3.7
SUNY College at Geneseo,0.03,0.675,0.157,1285,6063,15845,0.211,0.432,3.7
Albany College of Pharmacy and Health Sciences,0.003,0.69,0.258,1180,9972,27576,0,0.641,3.7
Saint Mary's College,0.02,0.737,0.249,1125,7193,26244,0.165,0.84,3.7
Jewish Theological Seminary of America,0.015,0.837,0,1355,5750,13597,0,0.523,3.7
Centre College,0.019,0.865,0.174,1285,6357,24256,0.219,0.709,3.7
Vanderbilt University,0.029,0.866,0.144,1445,6001,19667,0.304,0.164,3.7
University of Puerto Rico-Humacao,0.13,0.062,0.853,1097,2472,5930,0.227,0.4,3.69
William Jewell College,0.058,0.609,0.322,1165,6507,22543,0.103,0.541,3.69
New Mexico Institute of Mining and Technology,0.058,0.174,0.262,1165,5273,10670,0.906,0.704,3.68
Samford University,0.026,0.506,0.135,1185,6827,24734,0.076,0.826,3.68
Whitworth University,0.05,0.646,0.231,0,6773,25600,0.194,0.477,3.68
Franciscan University of Steubenville,0.048,0.706,0.305,1160,7454,23270,0.101,0.764,3.68
Austin College,0.054,0.738,0.326,1205,8265,23186,0.196,0.525,3.68
Soka University of America,0.05,0.847,0.4,1157,5927,14772,0,0.345,3.68
University of Puerto Rico at Cayey,0.13,0.185,0.815,1125,1800,7125,0.182,0.85,3.67
Christopher Newport University,0.04,0.507,0.179,1140,6189,19812,0.214,0.586,3.67
Agnes Scott College,0.077,0.572,0.487,0,7171,20720,0.181,0.459,3.67
University of Portland,0.029,0.681,0.219,1215,6598,33384,0.293,0.637,3.67
University of North Carolina at Charlotte,0.055,0.263,0.377,1070,5823,11002,0.22,0.715,3.66
Wingate University,0.055,0.395,0.437,1015,5723,16449,0.165,0.807,3.66
Mercer University,0.062,0.435,0.34,1160,7620,17581,0.166,0.828,3.66
Loyola University-New Orleans,0.059,0.475,0.323,1185,6840,24431,0.064,0.649,3.66
Salisbury University,0.053,0.488,0.185,1145,6050,15839,0.118,0.528,3.66
Lawrence University,0.037,0.543,0.242,0,7445,28798,0.221,0.527,3.66
Nova Southeastern University,0.041,0.278,0.42,1045,7255,24488,0.171,0.577,3.65
George Mason University,0.027,0.415,0.278,1150,6828,14709,0.192,0.528,3.65
Union University,0.073,0.498,0.332,1165,6144,22514,0.138,0.765,3.65
College of the Atlantic,0,0.534,0.329,0,5413,19406,0,0.64,3.65
Lake Forest College,0.046,0.624,0.333,0,6815,23331,0.144,0.535,3.65
Miami University-Oxford,0.111,0.681,0.145,1205,7257,24674,0.15,0.741,3.65
